Date,Time,plates
2026-06-02,11:28:41.613736,[]
2026-06-02,11:28:41.647103,[]
2026-06-02,11:28:41.680470,[]
2026-06-02,11:28:41.713837,[]
2026-06-02,11:28:41.747204,[]
2026-06-02,11:28:41.780571,[]
2026-06-02,11:28:41.813938,[]
2026-06-02,11:28:41.847305,[]
2026-06-02,11:28:41.880672,[]
2026-06-02,11:28:41.914039,[]
2026-06-02,11:28:41.947406,[]
2026-06-02,11:28:41.980773,[]
2026-06-02,11:28:42.014140,[]
2026-06-02,11:28:42.047507,[]
2026-06-02,11:28:42.080874,[]
2026-06-02,11:28:42.114241,[]
2026-06-02,11:28:42.147608,[]
2026-06-02,11:28:42.180975,[]
2026-06-02,11:28:42.214342,[]
2026-06-02,11:28:42.247709,[]
2026-06-02,11:28:42.281076,[]
2026-06-02,11:28:42.314443,[]
2026-06-02,11:28:42.347810,[]
2026-06-02,11:28:42.381177,[]
2026-06-02,11:28:42.414544,[]
2026-06-02,11:28:42.447911,[]
2026-06-02,11:28:42.481278,[]
2026-06-02,11:28:42.514645,[]
2026-06-02,11:28:42.548012,[]
2026-06-02,11:28:42.581379,[]
2026-06-02,11:28:42.614746,[]
2026-06-02,11:28:42.648113,[]
2026-06-02,11:28:42.681480,[]
2026-06-02,11:28:42.714847,[]
2026-06-02,11:28:42.748214,[]
2026-06-02,11:28:42.781581,[]
2026-06-02,11:28:42.814948,[]
2026-06-02,11:28:42.848315,[]
2026-06-02,11:28:42.881682,[]
2026-06-02,11:28:42.915049,[]
2026-06-02,11:28:42.948416,[]
2026-06-02,11:28:42.981783,[]
2026-06-02,11:28:43.015150,[]
2026-06-02,11:28:43.048517,[]
2026-06-02,11:28:43.081884,[]
2026-06-02,11:28:43.115251,[]
2026-06-02,11:28:43.148618,[]
2026-06-02,11:28:43.181985,[]
2026-06-02,11:28:43.215352,[]
2026-06-02,11:28:43.248719,[]
2026-06-02,11:28:43.282086,[]
2026-06-02,11:28:43.315453,[]
2026-06-02,11:28:43.348820,[]
2026-06-02,11:28:43.382187,[]
2026-06-02,11:28:43.415554,[]
2026-06-02,11:28:43.448921,[]
2026-06-02,11:28:43.482288,[]
2026-06-02,11:28:43.515655,[]
2026-06-02,11:28:43.549022,[]
2026-06-02,11:28:43.582389,[]
2026-06-02,11:28:43.615756,[]
2026-06-02,11:28:43.649123,[]
2026-06-02,11:28:43.682490,[]
2026-06-02,11:28:43.715857,[]
2026-06-02,11:28:43.749224,[]
2026-06-02,11:28:43.782591,[]
2026-06-02,11:28:43.815958,[]
2026-06-02,11:28:43.849325,[]
2026-06-02,11:28:43.882692,[]
