Date,Time,Particle_Count
06/02/2026,11:32:56,"9880
"
06/02/2026,11:32:57,"9970
"
06/02/2026,11:32:58,"10200
"
06/02/2026,11:32:59,"10300
"
06/02/2026,11:33:00,"10500
"
06/02/2026,11:33:01,"10400
"
06/02/2026,11:33:02,"10800
"
06/02/2026,11:33:03,"11200
"
06/02/2026,11:33:04,"11600
"
06/02/2026,11:33:05,"11900
"
06/02/2026,11:33:06,"12400
"
06/02/2026,11:33:07,"12300
"
06/02/2026,11:33:08,"12300
"
06/02/2026,11:33:09,"12200
"
06/02/2026,11:33:10,"11800
"
06/02/2026,11:33:11,"11600
"
06/02/2026,11:33:12,"11900
"
06/02/2026,11:33:13,"11500
"
06/02/2026,11:33:14,"11400
"
06/02/2026,11:33:15,"11500
"
06/02/2026,11:33:16,"11400
"
06/02/2026,11:33:17,"11300
"
06/02/2026,11:33:18,"11500
"
06/02/2026,11:33:19,"11500
"
06/02/2026,11:33:20,"11300
"
06/02/2026,11:33:21,"11100
"
06/02/2026,11:33:22,"11100
"
06/02/2026,11:33:23,"10800
"
06/02/2026,11:33:24,"10900
"
06/02/2026,11:33:25,"10600
"
06/02/2026,11:33:26,"11100
"
06/02/2026,11:33:27,"11000
"
06/02/2026,11:33:28,"10700
"
06/02/2026,11:33:29,"10400
"
06/02/2026,11:33:30,"9960
"
06/02/2026,11:33:31,"9980
"
06/02/2026,11:33:32,"9480
"
06/02/2026,11:33:33,"9630
"
06/02/2026,11:33:34,"9970
"
06/02/2026,11:33:35,"10100
"
06/02/2026,11:33:36,"10600
"
06/02/2026,11:33:37,"10300
"
06/02/2026,11:33:38,"10200
"
06/02/2026,11:33:39,"10300
"
06/02/2026,11:33:40,"10200
"
06/02/2026,11:33:41,"9730
"
06/02/2026,11:33:42,"9940
"
06/02/2026,11:33:43,"10500
"
06/02/2026,11:33:44,"11500
"
06/02/2026,11:33:45,"11900
"
06/02/2026,11:33:46,"11900
"
06/02/2026,11:33:47,"12900
"
06/02/2026,11:33:48,"12800
"
06/02/2026,11:33:49,"13700
"
06/02/2026,11:33:50,"13200
"
06/02/2026,11:33:51,"13200
"
06/02/2026,11:33:52,"14300
"
06/02/2026,11:33:53,"14600
"
06/02/2026,11:33:54,"15400
"
06/02/2026,11:33:55,"14700
"
06/02/2026,11:33:56,"13200
"
06/02/2026,11:33:57,"14200
"
06/02/2026,11:33:58,"13800
"
06/02/2026,11:33:59,"13700
"
06/02/2026,11:34:00,"11900
"
06/02/2026,11:34:01,"11300
"
06/02/2026,11:34:02,"11200
"
06/02/2026,11:34:03,"10700
"
06/02/2026,11:34:04,"10500
"
06/02/2026,11:34:05,"9850
"
06/02/2026,11:34:06,"9400
"
06/02/2026,11:34:07,"9520
"
06/02/2026,11:34:08,"10000
"
06/02/2026,11:34:09,"10200
"
06/02/2026,11:34:10,"10400
"
06/02/2026,11:34:11,"10400
"
06/02/2026,11:34:12,"10300
"
06/02/2026,11:34:13,"10500
"
06/02/2026,11:34:14,"10500
"
06/02/2026,11:34:15,"10100
"
06/02/2026,11:34:16,"10200
"
06/02/2026,11:34:17,"10100
"
06/02/2026,11:34:18,"9850
"
06/02/2026,11:34:19,"10000
"
06/02/2026,11:34:20,"10300
"
06/02/2026,11:34:21,"10100
"
06/02/2026,11:34:22,"10300
"
06/02/2026,11:34:23,"10600
"
06/02/2026,11:34:24,"10500
"
06/02/2026,11:34:25,"10600
"
06/02/2026,11:34:26,"10700
"
