Timestamp,Particle Count (pt/cc),Vehicles In Frame,EVs,Diesel,Benzin
12:57:52,4400,0,0,0,0
12:57:53,4910,0,0,0,0
12:57:54,4460,0,0,0,0
12:57:55,4210,0,0,0,0
12:57:56,4250,0,0,0,0
12:57:57,4320,0,0,0,0
12:57:58,4300,0,0,0,0
12:57:59,4250,0,0,0,0
12:58:00,4290,0,0,0,0
12:58:01,4290,0,0,0,0
12:58:02,4230,0,0,0,0
12:58:03,4290,0,0,0,0
12:58:04,4130,0,0,0,0
12:58:05,4200,0,0,0,0
12:58:06,4260,0,0,0,0
12:58:07,4210,0,0,0,0
12:58:08,4090,0,0,0,0
12:58:09,4110,0,0,0,0
12:58:10,4120,0,0,0,0
12:58:11,4210,0,0,0,0
12:58:12,4120,0,0,0,0
12:58:13,4150,0,0,0,0
12:58:14,4170,0,0,0,0
12:58:15,4110,0,0,0,0
12:58:16,4080,0,0,0,0
12:58:17,4090,0,0,0,0
12:58:18,4100,0,0,0,0
12:58:19,4180,0,0,0,0
12:58:20,4060,0,0,0,0
12:58:21,4070,0,0,0,0
12:58:22,4180,0,0,0,0
12:58:23,4080,0,0,0,0
12:58:24,4180,0,0,0,0
12:58:25,4020,1,1,0,0
12:58:26,4110,0,0,0,0
12:58:27,4130,0,0,0,0
12:58:28,4030,1,1,0,0
12:58:29,4060,0,0,0,0
12:58:30,4070,0,0,0,0
12:58:31,4010,0,0,0,0
12:58:32,3990,0,0,0,0
12:58:33,4000,0,0,0,0
12:58:34,3970,0,0,0,0
12:58:35,3990,0,0,0,0
12:58:36,4010,1,0,1,0
12:58:37,4020,0,0,0,0
12:58:38,3990,0,0,0,0
12:58:39,4050,0,0,0,0
12:58:40,3990,0,0,0,0
12:58:41,4020,1,0,1,0
12:58:42,3980,0,0,0,0
12:58:43,4020,0,0,0,0
12:58:44,4020,1,0,1,0
12:58:45,4500,0,0,0,0
12:58:46,4440,0,0,0,0
12:58:47,4590,0,0,0,0
12:58:48,4610,0,0,0,0
12:58:49,4450,0,0,0,0
12:58:50,4290,0,0,0,0
12:58:51,4000,0,0,0,0
12:58:52,4010,0,0,0,0
12:58:53,4030,0,0,0,0
12:58:54,4260,0,0,0,0
12:58:55,4100,0,0,0,0
12:58:56,3980,0,0,0,0
12:58:57,4010,0,0,0,0
12:58:58,3970,0,0,0,0
12:58:59,3960,0,0,0,0
12:59:00,3890,0,0,0,0
12:59:01,3950,0,0,0,0
12:59:02,3800,0,0,0,0
12:59:03,3860,0,0,0,0
